07-10 08:28:27.769  3033  3033 E AndroidRuntime: FATAL EXCEPTION: main
07-10 08:28:27.769  3033  3033 E AndroidRuntime: Process: com.google.android.apps.nexuslauncher, PID: 3033
07-10 08:28:27.769  3033  3033 E AndroidRuntime: java.lang.NoSuchFieldError: No instance field supportsSplitScreenMultiWindow of type Z in class Landroid/app/TaskInfo; or its superclasses (declaration of 'android.app.TaskInfo' appears in /system/framework/framework.jar)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.systemui.shared.recents.model.Task.from(Unknown Source:21)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.TopTaskTracker$CachedTaskInfo.getPlaceholderTasks(SourceFile:2)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.AbsSwipeUpHandler.notifyGestureAnimationStartToRecents(Unknown Source:35)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.AbsSwipeUpHandler.setupRecentsViewUi(Unknown Source:12)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.AbsSwipeUpHandler.onActivityInit(Unknown Source:153)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.d0.test(Unknown Source:4)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.LauncherActivityInterface.lambda$createActivityInitListener$0(Unknown Source:0)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.LauncherActivityInterface.e(Unknown Source:0)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.B0.test(Unknown Source:6)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.util.ActivityInitListener.handleInit(Unknown Source:6)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.launcher3.LauncherInitListener.handleInit(SourceFile:8)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.launcher3.LauncherInitListener.handleInit(SourceFile:1)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.util.ActivityInitListener.init(Unknown Source:6)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.launcher3.util.ActivityTracker.registerCallback(Unknown Source:19)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.util.ActivityInitListener.register(Unknown Source:5)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.AbsSwipeUpHandler.initWhenReady(Unknown Source:16)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.inputconsumers.OtherActivityInputConsumer.startTouchTrackingForWindowAnimation(Unknown Source:38)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.inputconsumers.OtherActivityInputConsumer.onMotionEvent(Unknown Source:373)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.inputconsumers.OneHandedModeInputConsumer.onMotionEvent(Unknown Source:243)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.TouchInteractionService.onInputEvent(Unknown Source:353)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.TouchInteractionService.b(Unknown Source:0)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.quickstep.a3.onInputEvent(Unknown Source:2)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.systemui.shared.system.InputChannelCompat$InputEventReceiver$1.onInputEvent(Unknown Source:2)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.view.InputEventReceiver.dispatchInputEvent(InputEventReceiver.java:267)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.view.InputEventReceiver.nativeConsumeBatchedInputEvents(Native Method)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.view.InputEventReceiver.consumeBatchedInputEvents(InputEventReceiver.java:247)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.view.BatchedInputEventReceiver.onBatchedInputEventPending(BatchedInputEventReceiver.java:53)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.os.MessageQueue.nativePollOnce(Native Method)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.os.MessageQueue.next(MessageQueue.java:335)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.os.Looper.loopOnce(Looper.java:161)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.os.Looper.loop(Looper.java:288)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at android.app.ActivityThread.main(ActivityThread.java:7918)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at java.lang.reflect.Method.invoke(Native Method)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:548)
07-10 08:28:27.769  3033  3033 E AndroidRuntime:        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:936)
